Jogador,Kiké,Marko Dmitrović,Anaitz Arbilla,Paulo Oliveira,Papakouli Diop,Edu Expósito,Bryan Gil,Alejandro Pozo Pozo,Takashi Inui,Pedro Bigas,Sergio Álvarez,Sergi Enrich,Rober Correa,Yoshinori Mutō,Rafa Soares,Esteban Burgos,Kévin Rodrigues,José Ángel,Pedro León,Miguel Atienza,Recio,Aleix García,Yoel,Damian Kądzior,Álvaro Tejero,Unai Dufur,Eñaut Mendía,Quique,Unai Arietaleanizbeaskoa,Sergio Cubero Ezcurra,Roberto Olabe del Arco,Unai Ayala
Miguel Atienza,0.9242286546805513,0.6168451463787535,0.9848080701037806,0.9497940827754848,0.9960176083081399,0.9922674089213416,0.9043112790899993,0.9882335317831181,0.921412092295239,0.9501999866434029,0.9967555748709145,0.9412706543626166,0.9859763810308104,0.8990846181593789,0.9860858849442041,0.9471720156118278,0.9829938259716652,0.9922294730644295,0.9209337272282189,1.0,0.9791619581587014,0.9973794476634589,0.655875802980544,0.8681487052175769,0.9810361368864623,0.9862801288678525,0.89626943535552,0.9477512794594753,0.8653433898927284,0.5016037807242096,0.9841190554024282,0.9505400493141979
Recio,0.9724700089680587,0.580282293501771,0.9495473705723009,0.8944406226504495,0.964361389342226,0.995046740075819,0.967991877219754,0.9855097490759147,0.9748858316609047,0.9091336695724176,0.9633524918395148,0.9841152934598418,0.9707483001628073,0.9596339883921937,0.9805609584976315,0.8944188437206991,0.98911907283542,0.98377044813853,0.9730985365010679,0.9791619581587014,0.9999999999999999,0.9866794529654364,0.6211598968625182,0.9435462931800113,0.9886902849575118,0.9768402529399672,0.900172460939528,0.9885359865697498,0.9217774373488552,0.3928518209500698,0.9774587790926001,0.9293919932022707
Aleix García,0.9301940882877212,0.6033396400574896,0.9801004112507555,0.9381073760554053,0.989710998352789,0.9943296836901528,0.9165241245316614,0.9893893516606176,0.9298522081951947,0.9421394033113986,0.991180072866094,0.9488610649995549,0.9836783289230159,0.9071690085019889,0.9861134242132936,0.937160912877573,0.9843243070849438,0.9934822587667395,0.9301000224957929,0.9973794476634589,0.9866794529654364,0.9999999999999999,0.6449137338230851,0.8827169827521979,0.9854357759808396,0.9883160169213777,0.8859366549067962,0.9560642392397734,0.8689452292208769,0.4611158916785437,0.9827689031209031,0.9456713568687479
Yoel,0.557395226156861,0.9962640231924186,0.7535647710316367,0.813212509282645,0.6749377272877372,0.6427777804120083,0.591209117727748,0.7176992377183199,0.5922959512497821,0.8286414498107362,0.6866040682906741,0.5780991459264819,0.7472019569248547,0.5434580533346071,0.7340591815277878,0.8261468569994281,0.6942078551725738,0.7111263097130804,0.5992454342814957,0.655875802980544,0.6211598968625182,0.6449137338230851,0.9999999999999998,0.5834138466088703,0.7187095577837052,0.7292465415841463,0.7237228995835719,0.56814937884913,0.4297290544086302,0.004875613032606333,0.7519205975524225,0.846215074701025
Damian Kądzior,0.9754704292513051,0.5500083543865855,0.8310784102875044,0.7663652663065026,0.8476079834942347,0.91985120398151,0.9943526592245687,0.91350454265695,0.9879038389434089,0.80172746156091,0.8398312436410521,0.9684282350975495,0.8869327155726463,0.9815523817896262,0.908414815585129,0.7660562372469265,0.9343865704818064,0.8992305420177811,0.9896999574118998,0.8681487052175769,0.9435462931800113,0.8827169827521979,0.5834138466088703,1.0000000000000002,0.9279087955868962,0.8929277254136975,0.8942520115221654,0.9716805702103963,0.9400331751810813,0.19009390630774894,0.9054430282279251,0.8508690303275775
Álvaro Tejero,0.9466960582127854,0.6786905336147334,0.9764412669900464,0.9404768548636285,0.9722049932992416,0.9901121656398751,0.950160174284888,0.9979201117932653,0.9570709323867183,0.9559278113455296,0.9744364677056951,0.96141514465403,0.9917525846934706,0.9315426369966031,0.9965031790530883,0.942277686137626,0.9952359491898016,0.9960080505238388,0.9581534407503474,0.9810361368864623,0.9886902849575118,0.9854357759808396,0.7187095577837052,0.9279087955868962,1.0000000000000002,0.9948146574680151,0.9253423218658718,0.9660395812085177,0.8790763663540021,0.35019020493594843,0.9947733000789238,0.9714055507558883
Unai Dufur,0.9180300891154408,0.6878420847419535,0.9899340474827608,0.9615381159662757,0.9811374363137702,0.9850014084391333,0.9183254612688353,0.9969448342957049,0.9279371751125716,0.9717220969343057,0.985170680108693,0.9374680654730798,0.9956108118061935,0.897248344805299,0.9966182041439129,0.9625575687927849,0.9891171371090312,0.9982806519224924,0.9309425474308818,0.9862801288678525,0.9768402529399672,0.9883160169213777,0.7292465415841463,0.8929277254136975,0.9948146574680151,0.9999999999999998,0.9189215486696657,0.944242226917628,0.8403781975750994,0.36989372260761383,0.993742998721014,0.9773264561396967
Eñaut Mendía,0.9120286015160177,0.6991213199922902,0.9074654798729856,0.9036499721043852,0.909309122305459,0.9172740232191154,0.9059464060304776,0.9338453959791199,0.9195742668166461,0.9166759581770848,0.9005260266060892,0.9065672536584907,0.9390944217640261,0.9029524411778309,0.9400777935320942,0.8928521800351973,0.9455000188824881,0.9210702935873771,0.9257767516024195,0.89626943535552,0.900172460939528,0.8859366549067962,0.7237228995835719,0.8942520115221654,0.9253423218658718,0.9189215486696657,1.0,0.9026643075085615,0.8662535480913416,0.37947331922020555,0.9412972307126665,0.9322977357518444
Quique,0.9944089719650089,0.5308273299462136,0.9039589166554021,0.8401265876369808,0.9308582984252661,0.9773626391738361,0.987807241266344,0.9606267052270645,0.9931336936450114,0.8596313831573275,0.9247073282451649,0.9969580095721955,0.9395559136385842,0.9878372692359919,0.954586138356676,0.8378016565040111,0.9741874361126508,0.9543594172874799,0.9897772668578596,0.9477512794594753,0.9885359865697498,0.9560642392397734,0.56814937884913,0.9716805702103963,0.9660395812085177,0.944242226917628,0.9026643075085615,1.0,0.9556570467952814,0.3738321088841869,0.9520799022928375,0.8904533022866994
Unai Arietaleanizbeaskoa,0.973923109074418,0.4039150906285215,0.7965407680545231,0.7257998872807516,0.8524051014990796,0.9097223550397477,0.9539836309281382,0.8748480823843849,0.9639558700916321,0.7423029001086695,0.8352491517153413,0.9541024178169222,0.8489053553847825,0.974832038654545,0.8678190336940297,0.7151380372851432,0.9048747062157124,0.8625087008081656,0.9600868139072558,0.8653433898927284,0.9217774373488552,0.8689452292208769,0.4297290544086302,0.9400331751810813,0.8790763663540021,0.8403781975750994,0.8662535480913416,0.9556570467952814,0.9999999999999998,0.4642939395204821,0.8662684096990318,0.7813821275584871
Sergio Cubero Ezcurra,0.38499097674612937,0.004206070358067154,0.44253741311502814,0.4404555162753674,0.5325541185727878,0.45158198635305447,0.2644079920269617,0.39276742017943195,0.3237026495914051,0.38013846833781456,0.5132715045282378,0.3720596318306316,0.41061057031976306,0.34386187168420396,0.3914203011714045,0.4112390599634844,0.40092931747771104,0.4060295783756147,0.3118879790456512,0.5016037807242096,0.3928518209500698,0.4611158916785437,0.004875613032606333,0.19009390630774894,0.35019020493594843,0.36989372260761383,0.37947331922020555,0.3738321088841869,0.4642939395204821,1.0,0.3948858645074923,0.3289184336138287
Roberto Olabe del Arco,0.9362855080365567,0.7172691323159144,0.9867434989003743,0.9633295390617511,0.9831624069738099,0.9875906478463315,0.9314569713075687,0.9978629060105789,0.942921905307251,0.9731351344377219,0.9836635552759663,0.9501593778933064,0.9979842507353848,0.9179776853751183,0.9989752404338,0.9627665476290834,0.9947464283844007,0.9959960408306664,0.9447813559741276,0.9841190554024282,0.9774587790926001,0.9827689031209031,0.7519205975524225,0.9054430282279251,0.9947733000789238,0.993742998721014,0.9412972307126665,0.9520799022928375,0.8662684096990318,0.3948858645074923,0.9999999999999998,0.9844523398825863
Unai Ayala,0.8723284664484295,0.8141454848207877,0.9824532267444366,0.9826793134074879,0.9557483626790902,0.9458142369776934,0.8765348522520936,0.975185854087692,0.8871849100058967,0.9930941652813834,0.9610733589370379,0.8918841602717963,0.985453678870314,0.8529234179956092,0.9804951266385132,0.9854441722176095,0.9638735119594718,0.9730747548456099,0.8900875509789913,0.9505400493141979,0.9293919932022707,0.9456713568687479,0.846215074701025,0.8508690303275775,0.9714055507558883,0.9773264561396967,0.9322977357518444,0.8904533022866994,0.7813821275584871,0.3289184336138287,0.9844523398825863,1.0
