Jogador,Jan Oblak,Koke,Marcos Llorente,Stefan Savić,Mario Hermoso,Luis Suárez,Ángel Correa,Kieran Trippier,Yannick Carrasco,Felipe,Saúl Ñíguez,José María Giménez,Thomas Lemar,João Félix,Renan Lodi,Héctor Herrera,Šime Vrsaljko,Geoffrey Kondogbia,Lucas Torreira,Vitolo,Diego Costa,Thomas Partey,Manu Sánchez,Moussa Dembélé,Ricard Sánchez,Sergio Camello,Óscar Castro
Saúl Ñíguez,0.6526897347496871,0.997179752716586,0.9934301246970101,0.9681653197673001,0.9867157419191115,0.928499350007905,0.9669653990121834,0.9912797720749089,0.9548950759492185,0.9444452464997678,0.9999999999999999,0.9592477295679653,0.9890018260125786,0.9834213761238888,0.9894339308231483,0.9927495506426286,0.9920015383775432,0.9866651919856354,0.9924034302012723,0.9815426496960864,0.9560538134640301,0.989456687225713,0.9895985914607253,0.9232747844179577,0.9575803376648344,0.9954308936424563,0.9915806808476755
José María Giménez,0.7931747702412303,0.9609560074000795,0.9340446161857061,0.9975501545559046,0.986972295367084,0.8165618585104718,0.8842617869770484,0.9629917433312111,0.8732871604068521,0.9976551935306441,0.9592477295679653,1.0,0.920109333831311,0.9004248858824264,0.9507331821871834,0.9686905500464434,0.9586143111222868,0.9705921759478521,0.9771923345155294,0.9125227795665487,0.8601356224494041,0.9446880494412292,0.9707658909182701,0.8016511641327927,0.8785474891280246,0.9766392771658466,0.979931259937757
Thomas Lemar,0.615802929322512,0.9799843914886033,0.9982892899546114,0.9271724329299104,0.954094369360387,0.964483001703518,0.9903849564516378,0.9891618042060377,0.9851436131356455,0.9012402601534376,0.9890018260125786,0.920109333831311,1.0000000000000002,0.9980618860287174,0.9931108487845338,0.9674070494116906,0.9855825436307202,0.9529767082372593,0.9644616781402584,0.9975847738239397,0.9834782811907798,0.9675434507935913,0.9834265471363871,0.9568991766715648,0.9866678339545569,0.9820183575343713,0.9775639441984306
João Félix,0.5791983625410871,0.9737978043343477,0.9957714962836659,0.9097202458891511,0.9415278974662217,0.9743144654765372,0.9926764001708233,0.9790486356518786,0.9858365025080557,0.8796972700634307,0.9834213761238888,0.9004248858824264,0.9980618860287174,1.0,0.9853281763562232,0.9595169825947139,0.9759670753506257,0.9440544999385235,0.9551060991114081,0.996489462475487,0.9895209485248893,0.9635446096397242,0.9724584860364031,0.9687948028013345,0.9859181823064992,0.9720487542655762,0.9659669242171751
Renan Lodi,0.6899342609335192,0.9788177632422773,0.9951329148241015,0.9515983383348154,0.9669202042420397,0.9473090043573158,0.9826962035306694,0.9985383373043244,0.9798683749456314,0.937228939670919,0.9894339308231483,0.9507331821871834,0.9931108487845338,0.9853281763562232,0.9999999999999998,0.9693663049300091,0.9932760734623548,0.9574687175538784,0.9707830193247887,0.9923833647861968,0.9699911147756684,0.9599081814143399,0.9961377610963561,0.9353377186529446,0.9817789855963243,0.9925711697876316,0.9915691658664312
Héctor Herrera,0.6470375528908879,0.9983710957294614,0.9735377893588992,0.9799480692279212,0.9951620324084872,0.8815735087760648,0.9312034101341629,0.9768363321619231,0.9143276824912809,0.9534088477221129,0.9927495506426286,0.9686905500464434,0.9674070494116906,0.9595169825947139,0.9693663049300091,0.9999999999999998,0.9772851200754624,0.9964241179698973,0.9985858189898863,0.9556542315430209,0.9189183901513833,0.9963558059060955,0.9768123524220325,0.877233977872085,0.9190442543894726,0.9875751317636233,0.9829218358809831
Šime Vrsaljko,0.6904561333191023,0.9833330797206761,0.9893889406661321,0.9640425049430097,0.9784456761457243,0.9282258501934073,0.9675370303652703,0.9945952323141952,0.9618095171563359,0.9477646461249353,0.9920015383775432,0.9586143111222868,0.9855825436307202,0.9759670753506257,0.9932760734623548,0.9772851200754624,1.0,0.9731189406940581,0.9804807330715193,0.9779585208717174,0.9519788964818303,0.9697869473746137,0.992813673195536,0.9230429307162265,0.9655328610427039,0.9935087548868246,0.9928247833450308
Geoffrey Kondogbia,0.6548978882732518,0.9921662857148524,0.9625885167988111,0.9837547942609078,0.9958783748016902,0.8636243751230038,0.9151376863522389,0.9661017357907641,0.895428759780016,0.959256603713005,0.9866651919856354,0.9705921759478521,0.9529767082372593,0.9440544999385235,0.9574687175538784,0.9964241179698973,0.9731189406940581,0.9999999999999999,0.9978880414754723,0.9376834204205862,0.9002753486734199,0.9924291904269487,0.9673559835098171,0.8627683557747782,0.9006963322438651,0.9819298747488965,0.9779836235897859
Lucas Torreira,0.674811602949924,0.9961811979431038,0.9727000536144348,0.987034674645785,0.9981554090255119,0.8786083934094912,0.9298291775161289,0.9784466766885327,0.9135385465354344,0.9653225547744533,0.9924034302012723,0.9771923345155294,0.9644616781402584,0.9551060991114081,0.9707830193247887,0.9985858189898863,0.9804807330715193,0.9978880414754723,1.0,0.9525814418952819,0.9150193391274871,0.9920531485463729,0.979788772090766,0.8736757124391031,0.9187226486269928,0.9906211077307462,0.9874877328662419
Vitolo,0.6195977061248626,0.9700021902007118,0.9957815000769789,0.9161736089926734,0.9422425683169138,0.9722094741243069,0.9945558266694206,0.9863917529318034,0.9913006974225851,0.8932149665753095,0.9815426496960864,0.9125227795665487,0.9975847738239397,0.996489462475487,0.9923833647861968,0.9556542315430209,0.9779585208717174,0.9376834204205862,0.9525814418952819,1.0000000000000004,0.9892918843822318,0.9535374973255126,0.9808162232816858,0.9614087543823164,0.9911345295233431,0.976650676246197,0.9724737209352513
