Jogador,Diego López,Marc Roca,Sergi Darder,David López,Dídac Vilà,Bernardo Espinosa,Wu Lei,Jonathan Calleri,Víctor Sánchez,Leandro Cabrera,Adri Embarba,Javi López,Naldo,Victor Gomez,Óscar Melendo,Fernando Calero,Adrià Pedrosa,Raúl de Tomás,Matías Vargas,Víctor Campuzano,Facundo Ferreyra,Esteban Granero,Pipa,Lluis López,Sébastien Corchia,Ander Iturraspe,Nico Ribaudo,Oier Olazábal,Pol Lozano,Pablo Piatti,Kévin Soni,Andrés Prieto,Mohamed Ezzarfani
Adri Embarba,0.5802597000969888,0.9065396945138819,0.9597715888594559,0.8821608150296015,0.9362695771214825,0.8309671696278655,0.9878369832223871,0.9880512647600636,0.9388233772745621,0.866419923328288,0.9999999999999999,0.9318869495482672,0.8343394678264224,0.9506225993611512,0.9579825242389078,0.8323604634407136,0.9586459308540077,0.9781533797478095,0.9942194682974805,0.9889975267368888,0.9917065143994784,0.9678846925412508,0.9478930776173091,0.8508070198371752,0.965052470505664,0.8933338568798771,0.9801748340131238,0.5847110034817129,0.8790170592164978,0.9833287514917253,0.7455513044988206,0.9282029466413508,0.9358112077630918
Javi López,0.7432925822452653,0.9772716895899428,0.976809529726245,0.9890206534282572,0.9980759277215168,0.9703973005864388,0.927984809809888,0.8948084352924509,0.9894965558524323,0.9840545011805433,0.9318869495482672,1.0,0.9758605114461755,0.9963764360827315,0.9707524612458511,0.9755951845711575,0.9945872811663692,0.9498865496526323,0.9413950621229638,0.9016234945823245,0.9242431753401583,0.9781618132398106,0.996876086442217,0.9821616567264937,0.977366665666157,0.9856565305677136,0.9495550998721297,0.7539876499822971,0.9820493375647908,0.8870693809431014,0.5379124877455433,0.9983918230932965,0.9970779497264995
Naldo,0.8097701120628699,0.9530486288610581,0.9205051558716035,0.9885436373559292,0.9699999295226627,0.9957096011205994,0.8401687713133598,0.7882514135859657,0.9533181813765842,0.994297676140352,0.8343394678264224,0.9758605114461755,0.9999999999999996,0.956802759162273,0.9101049282362651,0.9996277446662901,0.9520414721608002,0.8745093805819513,0.8481816294151543,0.7959583870164749,0.8270409018702288,0.9183348756695661,0.9632111763499163,0.9954346303335516,0.9175961057147023,0.9780913337946696,0.8661343209946251,0.821332951733675,0.9772166955733773,0.7720233655812264,0.3881476810874424,0.9774216641177527,0.9691950282292169
Victor Gomez,0.7138754783049028,0.9735017228441933,0.984707804338897,0.9777712529187322,0.9953739868252154,0.950835621055175,0.9463626841981682,0.9184327222368217,0.9898791479436675,0.9677052176364689,0.9506225993611512,0.9963764360827315,0.956802759162273,1.0000000000000002,0.9825337405843692,0.9574384134404652,0.99745021404039,0.9630210695190932,0.9629838849753175,0.9238691932558819,0.9446858129130964,0.9877131000651153,0.9967921258042607,0.9690029221883896,0.9906186463165931,0.9747414892367849,0.9693714536139904,0.7270436781538429,0.9726721368599871,0.916578353885051,0.589951295366034,0.9939920441659676,0.9961306125379414
Óscar Melendo,0.6007248174180283,0.9787978653758348,0.9975487399727697,0.9557311932328669,0.9780705115033047,0.8899689321529615,0.9498484494187774,0.935711615482995,0.9900457351451867,0.9172080172524034,0.9579825242389078,0.9707524612458511,0.9101049282362651,0.9825337405843692,1.0000000000000002,0.9118162587781119,0.987881406471127,0.9863357109848071,0.9742313232416041,0.9541145721844183,0.9657962756869305,0.9974640164809658,0.9675374342847188,0.9364666025424608,0.9872867724826015,0.9593165966389838,0.9910117211152174,0.6256551230015109,0.9630674329194879,0.9434728043359396,0.6077194408578708,0.9704894099487208,0.9807724483683958
Fernando Calero,0.806973555621093,0.9528121797155484,0.9205912171814802,0.9881950017472971,0.9692165342601189,0.994556429319501,0.837940042787878,0.7846985982157187,0.9533136651194971,0.9922916549234567,0.8323604634407136,0.9755951845711575,0.9996277446662901,0.9574384134404652,0.9118162587781119,1.0,0.9518991435887983,0.8732608128507237,0.8481619590177636,0.7935610592200576,0.8249174874674768,0.9183329592166303,0.962569068090622,0.9967117347689896,0.9201169648462969,0.9764915356735585,0.8676048219510325,0.8208635551714472,0.9778496695502464,0.772435905187048,0.38770263163194046,0.9767167378473292,0.9693019250219316
Adrià Pedrosa,0.693287362298389,0.9803884301335484,0.991528667634169,0.9783662088302051,0.9962224404224908,0.9426299912432542,0.9546725897898912,0.9300044604964606,0.9946227125266952,0.9624669245961668,0.9586459308540077,0.9945872811663692,0.9520414721608002,0.99745021404039,0.987881406471127,0.9518991435887983,1.0,0.9765254223028562,0.9676214319150981,0.9394286670370555,0.9559827847269203,0.9932034663849421,0.9939147685554547,0.964520116472777,0.9888473388175589,0.9789607820708932,0.9755367941204847,0.7075058573040807,0.9756199942206859,0.9253952540656954,0.5918659365646113,0.9938028572655881,0.9966234795323597
Raúl de Tomás,0.5620595178644222,0.9580555982576955,0.9882849691336812,0.9273747135727077,0.9607698910635857,0.8568698254870741,0.9766854455197402,0.9713816813618936,0.9730047033198318,0.889763537635531,0.9781533797478095,0.9498865496526323,0.8745093805819513,0.9630210695190932,0.9863357109848071,0.8732608128507237,0.9765254223028562,1.0,0.9835074021191131,0.9854959809864593,0.9892017054014235,0.9896434042930303,0.9527568647798754,0.8967933704826717,0.9707318648810476,0.9377020638902982,0.990839784672085,0.579938353547215,0.9335958192745251,0.9669379867461149,0.672041686800526,0.9515762619281224,0.9613929468122351
Matías Vargas,0.5816356682795392,0.9201406727684736,0.9709974644220911,0.8960626282854918,0.9457858019683741,0.8417824548126565,0.9891248940303894,0.9847055281854842,0.9504213710014638,0.8732942026927061,0.9942194682974805,0.9413950621229638,0.8481816294151543,0.9629838849753175,0.9742313232416041,0.8481619590177636,0.9676214319150981,0.9835074021191131,0.9999999999999999,0.9860890932636438,0.9929023972074503,0.979019357118465,0.9551948235247631,0.870856514123788,0.9813717212587757,0.9019895564575883,0.993352411584309,0.5945154484962837,0.896037756615053,0.9879828733987482,0.7517514976902441,0.9381758299524674,0.9484865603946995
Víctor Campuzano,0.5013197908414367,0.9000613628256919,0.9550095450206865,0.8588302763577293,0.9132440986474812,0.7837156011714633,0.984311002997341,0.9930077355709986,0.9261836260019168,0.8243355241467367,0.9889975267368888,0.9016234945823245,0.7959583870164749,0.9238691932558819,0.9541145721844183,0.7935610592200576,0.9394286670370555,0.9854959809864593,0.9860890932636438,1.0,0.9963626233683347,0.9606875234368416,0.9151442109121498,0.8193766522864172,0.9446998800692131,0.8745439084733778,0.9793946144163533,0.5126323029026251,0.8630756135020072,0.9874190169973842,0.7589817406937156,0.9019516555642985,0.9139935197701211
Facundo Ferreyra,0.5460435018956511,0.9173229230128752,0.9667870736260187,0.8835378979156651,0.9344193765623475,0.8173277553468519,0.9902098389783054,0.9937333447112673,0.9429094505973764,0.8542819247809886,0.9917065143994784,0.9242431753401583,0.8270409018702288,0.9446858129130964,0.9657962756869305,0.8249174874674768,0.9559827847269203,0.9892017054014235,0.9929023972074503,0.9963626233683347,1.0,0.9728362831077771,0.937009579969773,0.8488542625640062,0.9607666865127923,0.8955390387428972,0.9865695892763885,0.5570819572114593,0.8853915348609258,0.989058211065806,0.7551923157192258,0.9245143948594705,0.9351463953784267
Esteban Granero,0.6254527618983916,0.9797100184020112,0.9988590216811383,0.9607057944161231,0.9850844782450124,0.9026790794940768,0.9600823563247706,0.9474359841205003,0.9925551897282018,0.9307057358846276,0.9678846925412508,0.9781618132398106,0.9183348756695661,0.9877131000651153,0.9974640164809658,0.9183329592166303,0.9932034663849421,0.9896434042930303,0.979019357118465,0.9606875234368416,0.9728362831077771,0.9999999999999997,0.9772669977197634,0.9392717276020982,0.987432767402596,0.9661695708951908,0.9898960999470544,0.6431368858752213,0.9636526640363543,0.9453688492798149,0.6157655334581313,0.9782199164936515,0.9857070298661187
