Jogador,Carlos Neva,Ignasi Miquel,Gerard Gumbau,Lucas Boyé,Sergio Ruiz,Myrto Uzuni,Ricard Sánchez,Gonzalo Villar,Bryan Zaragoza,Miguel Ángel Rubio,Augusto Batalla,Bruno Méndez,Óscar Melendo,André Ferreira,Raúl Torrente,Facundo Pellistri,José Callejón,Kamil Jóźwiak,Antonio Puertas,Martin Hongla,Kamil Piątkowski,Álvaro Carreras,Raúl Fernández,Matias Arezo,Marc Martínez,Wilson Manafá,Faitout Maouassa,Theo Corbeanu,Víctor Díaz,Sergio Rodelas,Jesús Vallejo,Samu Omorodion,Njegoš Petrović,Famara Diedhiou,Shon Weissman,Brau,Adri Bosch,Pablo Saenz,Alberto Soro,Alberto Perea,Fran Árbol,Eghosa Bello
Augusto Batalla,0.7829662185455423,0.8718689965226581,0.6839698419496919,0.5802543111000322,0.7215975871741661,0.5790064298138162,0.746213259480109,0.6963536696555503,0.5479827478793686,0.8658032713805885,0.9999999999999998,0.8014712225372022,0.6149641648088938,0.998773297716062,0.8789858824996662,0.5986741455581132,0.7010779593154407,0.6617825285528139,0.6016043527093956,0.7396820267314259,0.8812181918397718,0.7243466365287824,0.9998149618089168,0.5859992530715104,0.9983581450240477,0.7774412103792271,0.7234404574494507,0.630398670455727,0.8631557951110019,0.6320241238327043,0.7841765121199307,0.4760374527653172,0.6686236561457853,0.5559565027331859,0.4739764915231719,0.7646719566335597,0.844330263868822,0.7830501385129764,0.4620025381847917,0.6242734279159637,0.8031339689140934,0.7516069254674891
Bruno Méndez,0.9967375372860563,0.9839333970507298,0.9772036880136439,0.8979085180841939,0.9877995463212127,0.8787723814135824,0.9758252045952784,0.9805224358240613,0.8370086060253403,0.9865062518719929,0.8014712225372022,1.0,0.9509235291476564,0.7847095652877802,0.978810310857307,0.8625590396130999,0.9637329179291314,0.9433898487279192,0.9033444373654148,0.9902943428092691,0.9773734714905874,0.972133259017731,0.7951907565829763,0.9174162982414149,0.8037499624345006,0.9928213039912005,0.9422670316044339,0.9228664067924858,0.9802438497769282,0.9065136593392707,0.9902336825454691,0.8480696330909667,0.962851425900598,0.7920256184606042,0.8107711768762493,0.9343750976100007,0.9889588774586631,0.9323255433807255,0.7117345377274875,0.8959645786155879,0.9947025935817578,0.9834893976596902
Óscar Melendo,0.960533999629142,0.8884695416996778,0.9934779192378284,0.9595862197163527,0.9836675229655572,0.936274196134527,0.9669576638513127,0.9920447980207479,0.896932732006211,0.8937151466569698,0.6149641648088938,0.9509235291476564,1.0000000000000002,0.599054795548563,0.8737630857010209,0.9069936674077511,0.9783181189578785,0.9751607741065662,0.954140214549337,0.9750363530518035,0.873664489507244,0.9713585136623085,0.6043814362192909,0.9770250000228191,0.6228216835814692,0.9557528403024683,0.9348180092245048,0.9580056581543136,0.8726559003146159,0.9391323042758581,0.9474844746770054,0.9456116495342906,0.9938835220894768,0.8443202156461721,0.9076248384303857,0.9177277858816241,0.9033922352924839,0.8901577072595822,0.7936256490054819,0.9391372693917164,0.9577602256591705,0.9762834303085619
André Ferreira,0.766616148580429,0.8584601765558559,0.6664136647815925,0.5647450103560343,0.7065413216297297,0.5642351068969678,0.7304891940630625,0.680988450937851,0.5296952495388552,0.8519451127606577,0.998773297716062,0.7847095652877802,0.599054795548563,1.0000000000000002,0.8650664550684816,0.5830523520458267,0.6855730769589332,0.6453555189412465,0.5850599353383074,0.724658238729271,0.8687447792271052,0.7082140450022973,0.9985253294595765,0.5683755610207613,0.9992558805371674,0.7606568807888102,0.7051583532009607,0.6119439947045145,0.8451696326191691,0.6167261584485545,0.7708291961873245,0.4590277022691457,0.6541806236794966,0.5396703823698977,0.46043885074879487,0.7515216049733008,0.8295691291900266,0.7692725415696045,0.4535456927493859,0.6105239675391297,0.7885093004094064,0.7372641320192717
Raúl Torrente,0.9720880254037817,0.9993052417773813,0.9174970764356107,0.8043168811933025,0.9444797369980059,0.7932646020794779,0.9345342587562705,0.9271652297113765,0.7457943950306898,0.998687280081229,0.8789858824996662,0.978810310857307,0.8737630857010209,0.8650664550684816,1.0,0.7867006837095166,0.9092983140458482,0.8735335915314113,0.8216061695340185,0.9554331936693109,0.9985874512387007,0.9239067403524727,0.8757391888580713,0.8227582169016755,0.8810543695405667,0.9691057517609778,0.8927632818542283,0.8433398469107362,0.9940139773687638,0.8400934513554955,0.9769758945186834,0.7343058432804132,0.8967453772734048,0.7041075500525183,0.6985338729890737,0.8949945371414855,0.9943868375618096,0.912022712681082,0.632396235379965,0.8336229829914364,0.9689192185463894,0.9423748210209937
Facundo Pellistri,0.8841082263919242,0.8018271800756636,0.9072173044659809,0.9695478084969367,0.8755665423756891,0.9870144768947132,0.9455174647362065,0.9003079835538206,0.9944275679775136,0.801197362592222,0.5986741455581132,0.8625590396130999,0.9069936674077511,0.5830523520458267,0.7867006837095166,1.0000000000000002,0.9554388576144949,0.9743134984044285,0.9902501092419669,0.8566456343669788,0.7958999565808565,0.9545717552379047,0.5902840000150936,0.9527416001692344,0.5993205221603175,0.8982486766206768,0.9747217054569364,0.9795076086721836,0.7850673821644846,0.9906202647057992,0.8281346905253342,0.9443339896652597,0.9344812798449473,0.9832334565379436,0.9659070827913534,0.9680619696062025,0.7914593930767827,0.9235960696781532,0.9555419203494734,0.9668853307239064,0.9015227989771393,0.9270884231489093
José Callejón,0.9776626782770441,0.9211087082033532,0.9868315196688461,0.962720918924756,0.9759714806573621,0.9597157114700008,0.996527830686224,0.9855252149638346,0.9373833246245405,0.9218016928962421,0.7010779593154407,0.9637329179291314,0.9783181189578785,0.6855730769589332,0.9092983140458482,0.9554388576144949,1.0,0.9947610737588268,0.9782454762694441,0.9685967458448469,0.9119361533615465,0.9975436916156959,0.6925073448638801,0.968305558770491,0.7051851299653936,0.9803820765542264,0.9826983069736254,0.9771560499343517,0.9028141605444584,0.9776681957440744,0.952394390147124,0.9310354228028269,0.9923731160513631,0.899764528611567,0.9137229057706605,0.9736690265078837,0.9198368069373737,0.9519477242926251,0.858507054326108,0.9769101237360915,0.9814342880894609,0.9947985983574452
Kamil Jóźwiak,0.9571908033019663,0.8872389185019276,0.9781858341778974,0.9827812196128438,0.9591741410812452,0.9790531865588256,0.9873708234053074,0.9737293358496802,0.964335772288445,0.8890667907754141,0.6617825285528139,0.9433898487279192,0.9751607741065662,0.6453555189412465,0.8735335915314113,0.9743134984044285,0.9947610737588268,0.9999999999999998,0.9928185793447409,0.9470307902067692,0.8772404948358934,0.9925077392077253,0.6525070796186181,0.9844320654830296,0.6646509847479973,0.9613043405901629,0.985683418769209,0.9919824882703399,0.8727431147739061,0.987546161237933,0.9223293645573736,0.9567366229038334,0.988794241866682,0.9332050110566352,0.9472120530126558,0.9741471248064297,0.8877397288615843,0.9413397327835625,0.8833425150780754,0.9773120242358444,0.965105108524465,0.9827667927932514
Antonio Puertas,0.9203641282835986,0.8375255212509525,0.9504520108841046,0.9904194659665396,0.9242844575182149,0.9942133039598697,0.9659864185028876,0.9449448239431762,0.9858092072689955,0.8393392481659308,0.6016043527093956,0.9033444373654148,0.954140214549337,0.5850599353383074,0.8216061695340185,0.9902501092419669,0.9782454762694441,0.9928185793447409,1.0000000000000002,0.9068894404930706,0.828212489828924,0.9756974178362209,0.5921114992194783,0.983159540440557,0.6044203647318618,0.9282118022577444,0.9776853111563524,0.993149874938664,0.822423553554855,0.9944394281016131,0.8760360500126727,0.9713733194957124,0.9698613163494558,0.9620361370731882,0.973215040118013,0.965915194504839,0.8365728560415642,0.923190150370318,0.9209449883222587,0.9736585628446168,0.932387768866556,0.9564717923183375
Martin Hongla,0.9925734038819292,0.9636776259731344,0.9888780976441688,0.9045405855836043,0.9984275990877542,0.8820057230165582,0.9725931160972596,0.993544193730655,0.8310221350238316,0.966977682082428,0.7396820267314259,0.9902943428092691,0.9750363530518035,0.724658238729271,0.9554331936693109,0.8566456343669788,0.9685967458448469,0.9470307902067692,0.9068894404930706,1.0,0.9534832247915745,0.969313962049943,0.7318548793290252,0.9273239719587499,0.7467099501591302,0.986183885215796,0.9255459399451479,0.9190878683792137,0.9504769950056237,0.9049602865434693,0.9942209802727755,0.8680788298793104,0.9766614186850757,0.7754591887092492,0.8217431285463948,0.9155565867380795,0.9729073163058289,0.9103476925100025,0.7176387385424549,0.9073078118252557,0.9860811167332121,0.9852816631945178
