Jogador,Luis Rioja,Joselu,Fernando Pacheco,Víctor Laguardia,Rubén Duarte,Florian Lejeune,Mamadou Loum,Martin Agirregabiria,Édgar Méndez,Toni Moya,Pere Pons,Tomás Pina Isla,Ximo Navarro,Gonzalo Escalante,Nahuel Tenaglia,Manu García,Miguel,Jason,Matt Miazga,Facundo Pellistri,Javi López,Mamadou Sylla,Antonio Sivera,Manu Vallejo,John Guidetti,Tachi,Iván Martín,Jesús Owono,Marc Tenas,Mircea Ţîrlea,Unai Ropero,Tomás Mendes,Saúl García,Abdel Abqar,Alex Balboa
Pere Pons,0.9397850769140946,0.9742059806651052,0.636813116412351,0.9269969591329366,0.983670772678507,0.9290917066494814,0.9866581482645543,0.9868145350904148,0.9710242827367231,0.9974038505689998,1.0000000000000002,0.9929540535827598,0.9758904904327215,0.9956898390729728,0.9681446169082818,0.9957148213613373,0.9255610552279447,0.9347320714633475,0.895419008528298,0.9705277574960018,0.9876499404925361,0.9328553359685078,0.6229855653227129,0.9726462371520304,0.9271906695459994,0.9516939841362563,0.9902498842225529,0.6076883854137977,0.961392340075099,0.9860601866923893,0.8147315437833358,0.9604550760197823,0.6282532955193971,0.9802654445240553,0.98358918210036
Tomás Pina Isla,0.9060211084396164,0.9447468391369377,0.6779140968648713,0.9555702304833303,0.9858875058424,0.9569577593880486,0.994692349390058,0.9902265325790195,0.9442889728465202,0.9926419713449578,0.9929540535827598,0.9999999999999996,0.9869324176999624,0.9926207258607578,0.9763816039642855,0.9889451741481126,0.8797411204108788,0.9010097743674337,0.9255343723578934,0.942914748801982,0.9964990762262024,0.8920302538578148,0.6637167213360871,0.9447266166727605,0.888245786453139,0.9714881987262821,0.980354576670009,0.6464649391226565,0.9399329282816948,0.9970086581790161,0.8208878145299113,0.9754801173467209,0.6490227925422895,0.9841776232749121,0.9888766314612977
Ximo Navarro,0.9064181971939269,0.9242469268230618,0.7719425402292502,0.9839523754888881,0.9947131039652379,0.9850866923917935,0.9852672812223177,0.9945807165299323,0.9415860020502963,0.9822820183673017,0.9758904904327215,0.9869324176999624,1.0000000000000002,0.9817785481762474,0.9972198562063059,0.9647361049885131,0.8653762881888406,0.9064171715367301,0.9690093014261112,0.9385455100481853,0.9964538705171393,0.8828516399967005,0.7582203451227406,0.9269547225635831,0.8701271454780237,0.9932608622967839,0.9564732536007572,0.7464894273431946,0.9418317942161185,0.9912990051836039,0.7884354261852836,0.9444919623403066,0.7609767126284395,0.9969207358764773,0.9931822123163654
Gonzalo Escalante,0.9182438206968746,0.9577810932933201,0.6651487785483154,0.9424645796255385,0.9819188074252048,0.9435797438616795,0.9952492002593015,0.9842077937192203,0.9577175087394513,0.9919853508728441,0.9956898390729728,0.9926207258607578,0.9817785481762474,1.0000000000000002,0.9745595026970162,0.9847113485513634,0.9026795107955651,0.9157021412985031,0.9131459347246027,0.9590160590646211,0.9903674246520621,0.9113728917901971,0.6521654802460033,0.9540561868048121,0.8967298969993192,0.9651320139891801,0.9750672881922643,0.6403579990601387,0.9438335359642791,0.9858308125969867,0.8495857212277174,0.9694559007645012,0.6561158569484249,0.9820638807025469,0.9792463657492453
Nahuel Tenaglia,0.9136460298852165,0.9218816990578796,0.7790921275281455,0.98066328773898,0.9945005548439014,0.9814778246990755,0.9750449522122383,0.992516181222551,0.9455280147379379,0.9766978596893501,0.9681446169082818,0.9763816039642855,0.9972198562063059,0.9745595026970162,1.0000000000000002,0.9552230284656503,0.8688353314245566,0.9173679268506061,0.9690291345070275,0.9401802677407304,0.9903775392323293,0.8869700669246625,0.7647246209021108,0.9245653960261203,0.8712604141764656,0.9921278607218108,0.9474143777058178,0.7570444717023856,0.9448771917317045,0.9803405654804092,0.7687668378120753,0.9222812771772064,0.7943872274767293,0.995220615177687,0.9882876457967132
Manu García,0.9433466472424947,0.9761257024070685,0.6083704210248879,0.9095349689620946,0.9779301450342289,0.9120596437889779,0.9747632056186897,0.9823266197978839,0.9692590473069363,0.9956860789369437,0.9957148213613373,0.9889451741481126,0.9647361049885131,0.9847113485513634,0.9552230284656503,1.0,0.9259846567700867,0.9376102920539913,0.8741318946112202,0.9659006491484645,0.9807996876047037,0.9355113501685673,0.5940665126175815,0.9767304979857858,0.9376024089880678,0.9351929149886847,0.9969414015292204,0.5752603931042135,0.9654399620824523,0.9826644537529284,0.7827957055356325,0.954239420456881,0.5923071607846571,0.9709410554751889,0.9802896928241878
Miguel,0.9860405366484513,0.9813892419181952,0.5138945729472426,0.7711659563542845,0.9023083465353224,0.7772025895082169,0.8603991907059616,0.8999051051344801,0.9791947780046946,0.9240951539500801,0.9255610552279447,0.8797411204108788,0.8653762881888406,0.9026795107955651,0.8688353314245566,0.9259846567700867,0.9999999999999998,0.9770565260953868,0.7487889894494401,0.9814409802058537,0.8749913395957133,0.9928061995575406,0.5021677542342182,0.981741817926443,0.9914048085213475,0.8109021948590359,0.9388760428196332,0.4895603269418265,0.9694183500555261,0.8710221995940279,0.6528550134953348,0.8016308428701627,0.5686677244410866,0.8952466281874687,0.898283313715266
Jason,0.9969793029262811,0.9756094093586729,0.6095499680511816,0.8282887211016966,0.9419441288298315,0.8324368265700735,0.879552171910802,0.9366884020775872,0.9905579826588242,0.9457137149899664,0.9347320714633475,0.9010097743674337,0.9064171715367301,0.9157021412985031,0.9173679268506061,0.9376102920539913,0.9770565260953868,1.0000000000000002,0.812313048069844,0.9805574421506554,0.9092068420908639,0.9875735037505712,0.5964461636219823,0.9799737432852251,0.9791659155015795,0.8650752086706963,0.9473044617861563,0.5893964778299559,0.9900538152722591,0.899156927900471,0.6244500618294087,0.8086952613211873,0.6768093739724854,0.931746434677261,0.9304545718538038
Matt Miazga,0.8092357076980873,0.8136284104140676,0.8844246179194188,0.9944835790298168,0.9463366418413649,0.9947603195608365,0.9314130981646668,0.9433480755132434,0.849037046730142,0.9073155158661681,0.895419008528298,0.9255343723578934,0.9690093014261112,0.9131459347246027,0.9690291345070275,0.8741318946112202,0.7487889894494401,0.812313048069844,1.0000000000000002,0.848082151707324,0.9484663193537206,0.7696804448389649,0.8721650042625277,0.819320889233814,0.7540814388703313,0.982896439900288,0.8603079118183916,0.8629675959157936,0.8589695307287445,0.9417844884140155,0.7288023495877026,0.8808009981761331,0.8500008116409489,0.9583249557170438,0.9474016250430867
Facundo Pellistri,0.9860408086506443,0.9865357966470534,0.6123397722499152,0.8681649621830879,0.9602328401104968,0.8730870827951622,0.9319004991971034,0.9584092480503611,0.9943998605798632,0.9712540712075488,0.9705277574960018,0.942914748801982,0.9385455100481853,0.9590160590646211,0.9401802677407304,0.9659006491484645,0.9814409802058537,0.9805574421506554,0.848082151707324,1.0,0.9432594340741822,0.9812367806866872,0.599136520417857,0.9923567631872657,0.9738629163497011,0.8975345272278137,0.971541027181641,0.5864557144850994,0.9865021025961299,0.9373938566263755,0.7437482598131062,0.8747235916645868,0.6571744702154649,0.9561338639553784,0.9555466043965427
Javi López,0.9104577273760897,0.9386060358927711,0.7251529016524876,0.9717532393448153,0.9942094036087159,0.9727489255940525,0.9927260047736578,0.9961808393383561,0.9471743026107107,0.9915173555394989,0.9876499404925361,0.9964990762262024,0.9964538705171393,0.9903674246520621,0.9903775392323293,0.9807996876047037,0.8749913395957133,0.9092068420908639,0.9484663193537206,0.9432594340741822,1.0000000000000002,0.891569680264761,0.7111108426874019,0.9393903524167859,0.8822287398365732,0.9857199585410358,0.9721582116523617,0.6974254220120153,0.9449736085443524,0.9970356411267635,0.8043236705641494,0.9627210000908839,0.7071263011069485,0.9936524836003124,0.9938125590426949
Mamadou Sylla,0.9936498186445827,0.9863244135136676,0.5525992439511327,0.7913694192023761,0.9198891579359757,0.7966096356534278,0.8709998704082857,0.9163962842931392,0.9880528119663298,0.9375032453476592,0.9328553359685078,0.8920302538578148,0.8828516399967005,0.9113728917901971,0.8869700669246625,0.9355113501685673,0.9928061995575406,0.9875735037505712,0.7696804448389649,0.9812367806866872,0.891569680264761,1.0,0.5417779558949691,0.9871881709363223,0.9894245386683658,0.8324884033224762,0.9501141904656155,0.5310891824382389,0.9817608974479664,0.8881308524851037,0.639438473765305,0.8144494362111797,0.5988964826044916,0.9117330029944165,0.9130254456041169
