Jogador,Gerard Piqué,Marc-André ter Stegen,Jordi Alba,Luis Suárez,Sergio Busquets,Lionel Messi,Ivan Rakitić,Sergi Roberto,Philippe Coutinho,Clément Lenglet,Arturo Vidal,Ousmane Dembélé,Nélson Semedo,Arthur Melo,Samuel Umtiti,Thomas Vermaelen,Carles Aleñá,Malcom,Jasper Cillessen,Kevin-Prince Boateng,Rafinha,Moussa Wagué,Jean-Clair Todibo,Riqui Puig,Munir El Haddadi,Jeison Murillo,Álex Collado,Abel Ruiz,Denis Suárez,Carles Pérez,Chumi,Jokin Ezkieta
Thomas Vermaelen,0.9950866536759462,0.7648501130119797,0.9665679241124793,0.8288972396823028,0.9909782178946186,0.8712540324691459,0.9839080416667858,0.9689940937325523,0.9066806653241503,0.9899203709700152,0.9812484143047672,0.86436751171047,0.9762247240290901,0.9812914351469545,0.9996345360047009,0.9999999999999997,0.9573973068857379,0.8795295937037106,0.7529626490697864,0.8976712312501002,0.9549789060161763,0.9759520708758535,0.9966911805595272,0.9696685796057333,0.8805216093867394,0.9992053747657879,0.9376256241568727,0.8308824097239159,0.9650724999375776,0.8954674823088351,0.9805431886796921,0.9802820569648131
Carles Aleñá,0.9311871329699036,0.6294793864252952,0.9868607995890619,0.9305756366900514,0.9837897646066636,0.9654302483829325,0.9929298588707727,0.992836104440712,0.9816440873769827,0.9161511300161158,0.9940241012476712,0.9551900961313314,0.9874345767234749,0.9935348062292951,0.9530847940965896,0.9573973068857379,1.0,0.9640766193735724,0.6163330754287055,0.9752129941243269,0.9976684654668169,0.9931820289490728,0.9339975062951944,0.9930412373506565,0.9655757530273018,0.9543610178348242,0.9876721027100009,0.914147459551085,0.9793526116036968,0.9702490981037282,0.9880390017689324,0.9580354433693757
Malcom,0.8572423059941279,0.6094364371425819,0.9701782591711164,0.9902143125131397,0.9125187219086064,0.9965620453907553,0.9348295716322018,0.9688007505906944,0.9967926919739919,0.8429949703924825,0.9434093869194496,0.9985239990623949,0.9604466748798156,0.932928146230943,0.8703449225822778,0.8795295937037106,0.9640766193735724,1.0000000000000002,0.5965739368193098,0.9862341508106587,0.9746647020060797,0.9577354412121423,0.8484492339032684,0.9272613487209873,0.9976470908809979,0.8692527571031041,0.9746328117853835,0.9828727997759349,0.9531881769956986,0.9950848288192545,0.9550949557380259,0.924691683459694
Jasper Cillessen,0.805708580449462,0.9996275396055023,0.7052320244292233,0.5575306188200276,0.6787206659554397,0.5622294873084879,0.6649518081542717,0.6869017242827776,0.6014310005319321,0.8193969159337144,0.6658448412970152,0.5831319544590811,0.710775668252566,0.6518750893553147,0.750115569294346,0.7529626490697864,0.6163330754287055,0.5965739368193098,1.0,0.5779725206573155,0.6391105339203819,0.6793392005254467,0.7686440096100853,0.6119860682226009,0.5880671862754673,0.7394550025861077,0.6136277027074821,0.6197895397378491,0.6899418022777788,0.596176471033364,0.720731884749244,0.7852804390047654
Kevin-Prince Boateng,0.8705666181921567,0.5901335199611163,0.9679265268376912,0.9805551645741285,0.9354802803614848,0.9909260615464124,0.9522766606188471,0.9692383822776581,0.9913417720453291,0.855273121996161,0.9610991483827375,0.986761365967801,0.9612907825953643,0.9498585255271643,0.8883083239997618,0.8976712312501002,0.9752129941243269,0.9862341508106587,0.5779725206573155,1.0,0.9831004186418156,0.9695671166489357,0.8697008000061349,0.9521687568366412,0.9932031737004805,0.8892766558405089,0.9928989959142255,0.9655264618566267,0.9664033470059171,0.9935021014898141,0.9613159963931432,0.9373403024596125
Rafinha,0.9323101798703456,0.6519322531122336,0.9925917704386891,0.9451001441847696,0.9789725364770303,0.9738207550993349,0.9892792926021868,0.9959635312610866,0.9886203368959093,0.9189648094058688,0.9923716520789869,0.9675571467342498,0.9918201505800041,0.9884300261027513,0.9493121428603314,0.9549789060161763,0.9976684654668169,0.9746647020060797,0.6391105339203819,0.9831004186418156,1.0000000000000002,0.9948728489123778,0.9324428586621206,0.9856695276815316,0.9757703881786969,0.9496833636419997,0.9925471852556051,0.9336066481499297,0.9817491591783394,0.9810486573303939,0.9913754049345973,0.9666002923791217
Moussa Wagué,0.9599430616900806,0.6926091900031254,0.9953924113023586,0.9255544959956387,0.9903003387553794,0.9558511893370534,0.9952857045608635,0.9969777632608792,0.974556118972232,0.9498272539269557,0.9977570161105409,0.9499511126340149,0.9964252968869722,0.9930835783587205,0.9718191363464063,0.9759520708758535,0.9931820289490728,0.9577354412121423,0.6793392005254467,0.9695671166489357,0.9948728489123778,1.0000000000000002,0.9603290820923736,0.9870811955718753,0.959978235967358,0.9722790556680947,0.9867800709688125,0.9188389682146443,0.9919261139144183,0.9664336935865913,0.9978466780645665,0.9836868422425575
Jean-Clair Todibo,0.9973302543273478,0.7805245544916107,0.9495489344235732,0.7965050268928271,0.9796792107121994,0.839021711714246,0.968371483006736,0.9504072633683653,0.8774184365681396,0.9954922694337633,0.9659058433521129,0.833298230966623,0.9611660428381437,0.9644901059515898,0.997093352049135,0.9966911805595272,0.9339975062951944,0.8484492339032684,0.7686440096100853,0.8697008000061349,0.9324428586621206,0.9603290820923736,1.0,0.9502752604258182,0.8500970745366295,0.9964500757013333,0.9154781849969993,0.8033518592449304,0.9514668978282853,0.8678469440155518,0.965877206252169,0.9750609294574647
Riqui Puig,0.9423041878693665,0.6248000043683347,0.9716085807034516,0.8868002045861052,0.9932589330288414,0.9310164890658381,0.9960984885368462,0.9804401053461207,0.9532057897756582,0.92726596249997,0.9944812448550524,0.9159707593269824,0.9764765618859316,0.9974221385399277,0.9672618522133598,0.9696685796057333,0.9930412373506565,0.9272613487209873,0.6119860682226009,0.9521687568366412,0.9856695276815316,0.9870811955718753,0.9502752604258182,1.0000000000000002,0.93226569933457,0.9698094636049754,0.9745188494242406,0.8670388022906357,0.9711588145977128,0.9395173960781654,0.9804724642793555,0.9531141684062072
Munir El Haddadi,0.8567139660887715,0.6006822268989686,0.9677273335364847,0.9930393541530981,0.9163841678278378,0.9971957679257127,0.9372689573243499,0.9668340190604288,0.9956409879499734,0.8420210146961191,0.9468582671305762,0.9975921327648217,0.9582155333037521,0.9349554151154544,0.8710032098807469,0.8805216093867394,0.9655757530273018,0.9976470908809979,0.5880671862754673,0.9932031737004805,0.9757703881786969,0.959978235967358,0.8500970745366295,0.93226569933457,1.0000000000000004,0.8708735066077913,0.9815454524204489,0.9841639629932423,0.959074743287113,0.9961391661289019,0.9550967291387339,0.9276177145864103
Jeison Murillo,0.9931897038903961,0.7518010157880287,0.9605230248307238,0.8167254093474859,0.9908965858788696,0.8621943500283049,0.9826049006510621,0.9637938196646425,0.8983498847981951,0.9877316897184601,0.9790164770753855,0.8535563471223604,0.9707097225727214,0.98052511599621,0.9997488226008744,0.9992053747657879,0.9543610178348242,0.8692527571031041,0.7394550025861077,0.8892766558405089,0.9496833636419997,0.9722790556680947,0.9964500757013333,0.9698094636049754,0.8708735066077913,1.0000000000000002,0.9310616604848189,0.816888750094444,0.961560027582613,0.8850512397856461,0.9756561619010721,0.9741466693909259
Álex Collado,0.9135376667114717,0.6258966632418282,0.9810646409167874,0.9590821628448924,0.9658804380530758,0.975682308093663,0.9766648357146237,0.983848041803326,0.9856599183114237,0.900119032662042,0.983150797236836,0.970689447582064,0.9796847402272281,0.9744016696195583,0.9301373891308242,0.9376256241568727,0.9876721027100009,0.9746328117853835,0.6136277027074821,0.9928989959142255,0.9925471852556051,0.9867800709688125,0.9154781849969993,0.9745188494242406,0.9815454524204489,0.9310616604848189,1.0,0.9465501365322079,0.9814047848999743,0.9879873832902563,0.9802696045989435,0.9603164834053528
Abel Ruiz,0.817992197431597,0.6312299264127805,0.9375474778035557,0.9927091725201465,0.858764724789717,0.9764320700467191,0.882453868493432,0.9302925378897098,0.9691695201755274,0.8076448766248651,0.8970318168762831,0.9862557666690075,0.9244700513621638,0.876966365714955,0.8190770736749032,0.8308824097239159,0.914147459551085,0.9828727997759349,0.6197895397378491,0.9655264618566267,0.9336066481499297,0.9188389682146443,0.8033518592449304,0.8670388022906357,0.9841639629932423,0.816888750094444,0.9465501365322079,1.0000000000000002,0.9298256144220519,0.9779581051196045,0.9192487483019613,0.9046712580395609
Denis Suárez,0.9529752211843203,0.7029740259598656,0.986364221654189,0.9332117463904424,0.9775274964452431,0.9527862784664085,0.9819569173094999,0.9860584871954522,0.9664932407658947,0.9437382790322577,0.986759091133832,0.9472746970551338,0.9859381564712251,0.978306026111243,0.9609053445221837,0.9650724999375776,0.9793526116036968,0.9531881769956986,0.6899418022777788,0.9664033470059171,0.9817491591783394,0.9919261139144183,0.9514668978282853,0.9711588145977128,0.959074743287113,0.961560027582613,0.9814047848999743,0.9298256144220519,1.0,0.961192191998245,0.989814778841692,0.9831382482102732
Carles Pérez,0.8725287732577885,0.6086389181426464,0.9734432039441003,0.986423425493877,0.9269365144797023,0.9921198694257299,0.9460650101377781,0.9730429478076583,0.9952713553028533,0.8590649420159501,0.9551134136189453,0.993455530394126,0.966847795057287,0.9434374475764213,0.8858798536122523,0.8954674823088351,0.9702490981037282,0.9950848288192545,0.596176471033364,0.9935021014898141,0.9810486573303939,0.9664336935865913,0.8678469440155518,0.9395173960781654,0.9961391661289019,0.8850512397856461,0.9879873832902563,0.9779581051196045,0.961192191998245,1.0,0.9622517069420056,0.9367456435379764
Chumi,0.9692385079785444,0.7331548414205715,0.9972746518413941,0.9202426468142887,0.988083755337554,0.9491884762990263,0.9926888352696045,0.9976812505348287,0.9705949159392856,0.9603741941817704,0.9947236193422994,0.9457219205761862,0.9987742363299456,0.989978900671924,0.97639933797757,0.9805431886796921,0.9880390017689324,0.9550949557380259,0.720731884749244,0.9613159963931432,0.9913754049345973,0.9978466780645665,0.965877206252169,0.9804724642793555,0.9550967291387339,0.9756561619010721,0.9802696045989435,0.9192487483019613,0.989814778841692,0.9622517069420056,1.0000000000000002,0.9891883550274193
Jokin Ezkieta,0.980879477085321,0.7967345723566639,0.9832721443075021,0.8945184571914404,0.9744163326267659,0.9172254659245355,0.9735375825936347,0.9786626057489264,0.9399557058308271,0.9776547533331083,0.9776336728280683,0.9178962925584051,0.9854075208764645,0.9671470424532359,0.9757584249773006,0.9802820569648131,0.9580354433693757,0.924691683459694,0.7852804390047654,0.9373403024596125,0.9666002923791217,0.9836868422425575,0.9750609294574647,0.9531141684062072,0.9276177145864103,0.9741466693909259,0.9603164834053528,0.9046712580395609,0.9831382482102732,0.9367456435379764,0.9891883550274193,0.9999999999999999
