Jogador,Marc-André ter Stegen,Robert Lewandowski,Gavi,Alejandro Balde,Frenkie de Jong,Jules Koundé,Sergio Busquets,Raphinha,Pedri,Andreas Christensen,Ronald Araújo,Ousmane Dembélé,Eric García,Sergi Roberto,Jordi Alba,Ferrán Torres,Ansu Fati,Marcos Alonso,Franck Kessié,Gerard Piqué,Memphis,Pablo Torre,Héctor Bellerín,Iñaki Peña,Ángel Alarcón,Pierre-Emerick Aubameyang,Lamine Yamal,Aleix Garrido,Chadi Riad,Arnau Tenas,Ander Astralaga
Memphis,0.605792009134689,0.9934792182798631,0.9532829920739722,0.9444555669438888,0.9053956433056518,0.8781499441305587,0.8783096309450548,0.9961993533958671,0.9366919010589788,0.8198111620311577,0.8306080362448229,0.9979828665214621,0.8308931999706642,0.9268321582158605,0.9368801640672533,0.997082291740415,0.9973204252611154,0.8425240644445636,0.9035237686277237,0.8168546708048884,0.9999999999999999,0.9752359726085598,0.9561246619510312,0.6131919824580483,0.9749931707924933,0.9094132563994708,0.9641183925164925,0.7464559587650291,0.6802823297400195,0.9229166378905432,0.873940405923419
Pablo Torre,0.6717743281002041,0.9702071422225889,0.9923863126852704,0.9877092242232118,0.970923591709111,0.9523925484748074,0.9555857450905955,0.9858062597332502,0.9862798761165715,0.9113046510768942,0.9209087152370432,0.9754098073821278,0.9193366862073519,0.9815739846802665,0.9867645296859239,0.9866402772059812,0.9840324563478894,0.9280345119994314,0.9684063017015297,0.9128946478131218,0.9752359726085598,0.9999999999999997,0.9943872543889191,0.6781240107344053,0.9352392779046735,0.9419715292197657,0.9036992204139166,0.7114901219171527,0.7418707596734238,0.9782779395751818,0.9387539837593416
Héctor Bellerín,0.7031270162747733,0.9514819965953645,0.995705699629103,0.9974485901448487,0.9877678896895616,0.9772863032946277,0.9772976938087995,0.9670589878253394,0.9945605329649181,0.9463262734167173,0.9538699502580349,0.9523843399614524,0.952427673664682,0.9946216265711112,0.9977759380784781,0.971441827656528,0.9709288221419281,0.9589047681919546,0.9858247671714113,0.9467633097770208,0.9561246619510312,0.9943872543889191,0.9999999999999998,0.7091898220631218,0.9053081649419074,0.9606559635650997,0.8649871727578712,0.7104386337428499,0.7821513399095372,0.993073223603082,0.959992863558026
Iñaki Peña,0.9990998818625418,0.5762717553982342,0.6668012264428971,0.742540481567052,0.7059036346383666,0.7801402261774073,0.708673477840267,0.6143349485576716,0.6730058087034163,0.8062748352688407,0.7840406787544874,0.5971321575622703,0.8072994468005074,0.7226759896982499,0.734093472306553,0.6351476532980179,0.6347452099706569,0.8052520834379506,0.7164594135092326,0.761856426736282,0.6131919824580483,0.6781240107344053,0.7091898220631218,0.9999999999999998,0.646586646690094,0.714364296194651,0.5386313832855486,0.7429529257640984,0.9078660768656949,0.764746215920406,0.8504576651905222
Ángel Alarcón,0.6445274597779023,0.9643825136320732,0.8946732742637798,0.8932779830468047,0.831682796174627,0.816769702449007,0.801504171579933,0.9720682986349911,0.8690251606179805,0.7533417223533693,0.7625235222295427,0.9770688486851387,0.7685483811443233,0.8623332549362097,0.8813652197681214,0.9718157636944985,0.964639547317394,0.7814247735613329,0.8383036910881326,0.7397965409145685,0.9749931707924933,0.9352392779046735,0.9053081649419074,0.646586646690094,1.0,0.8422753512685723,0.9682928319329698,0.8170731707317074,0.6762522260005743,0.8699395032841767,0.8501506359200637
Pierre-Emerick Aubameyang,0.7084692447303365,0.9111538069099384,0.9586567698848455,0.965048712764988,0.9625202798435823,0.9599742301873545,0.9566273264337155,0.9078025795330933,0.960994221163979,0.9429983540017766,0.9479685279065343,0.8904607151518188,0.9451934736642916,0.9641276633448866,0.9620932507418548,0.9214765264119814,0.929473814749579,0.9493254903741221,0.9661509754460117,0.9419846635058615,0.9094132563994708,0.9419715292197657,0.9606559635650997,0.714364296194651,0.8422753512685723,1.0,0.7786804759219854,0.7044484756064422,0.7925939239012172,0.9672660744336359,0.9441060916404307
Lamine Yamal,0.5281153373071089,0.9438207718209563,0.8572868891244538,0.8513940356632244,0.786336242865709,0.7531732903118703,0.7464460440826186,0.9531420395151228,0.8311498613139716,0.6796468485504576,0.6867920611246133,0.9696833714881983,0.6942260753419058,0.8213319340149018,0.8375906975873585,0.9490077610702154,0.9474204739689692,0.70764207383193,0.7782946762846615,0.6671676565742323,0.9641183925164925,0.9036992204139166,0.8649871727578712,0.5386313832855486,0.9682928319329698,0.7786804759219854,0.9999999999999999,0.7345669759491494,0.5995437734798086,0.8150998603514589,0.7574775102455689
Aleix Garrido,0.7496098347155926,0.7217668114140895,0.6739844218883267,0.7272268276300113,0.6396885673720683,0.6891382507922912,0.6212809288133323,0.7314741260167095,0.6507482269490708,0.6647036109478975,0.6537815133417748,0.731262783854228,0.6797988651143171,0.6770177730064576,0.7018556583290362,0.7498913073100613,0.7446536986843484,0.6796933551867721,0.6642332990920894,0.6120517871703071,0.7464559587650291,0.7114901219171527,0.7104386337428499,0.7429529257640984,0.8170731707317074,0.7044484756064422,0.7345669759491494,1.0,0.8115026712006892,0.7114192334309527,0.774696729408314
Chadi Riad,0.9055786709430101,0.6329074860534881,0.7332814075666664,0.8156701703270339,0.7777446423210868,0.8457468883171306,0.7765029055500012,0.6762606355362802,0.7444837740725687,0.867656584468225,0.842166853641807,0.6614295019920798,0.8699801137269934,0.7923410929910684,0.805871549969161,0.6982301518288418,0.6996112573161205,0.8613869018701512,0.7774071490366526,0.815237287136998,0.6802823297400195,0.7418707596734238,0.7821513399095372,0.9078660768656949,0.6762522260005743,0.7925939239012172,0.5995437734798086,0.8115026712006892,1.0000000000000002,0.821658307382106,0.8756496128899347
Arnau Tenas,0.7589709620309201,0.9182986574998501,0.9873396212657037,0.9971070583603271,0.9935291396230537,0.9941846039539691,0.9888215834151385,0.9353104745501681,0.9904727265075886,0.9758915432992438,0.9802713500573162,0.9157009776278333,0.9798818920936007,0.9972810298819713,0.9976612691191158,0.9432856378653386,0.9441616479205559,0.9843785203505494,0.9939797863511561,0.9742218489635605,0.9229166378905432,0.9782779395751818,0.993073223603082,0.764746215920406,0.8699395032841767,0.9672660744336359,0.8150998603514589,0.7114192334309527,0.821658307382106,1.0,0.9809693152294479
Ander Astralaga,0.8501233222248877,0.8684107551136415,0.9460870483858054,0.9702777859991217,0.9592899490391709,0.9826726791310116,0.9602237562249469,0.888575097066566,0.9485125955836498,0.9758438913363048,0.9764106918134415,0.8641142342111299,0.9804296927334922,0.9646761602042481,0.9689221592966882,0.9008449421613173,0.8981265508145165,0.9830978030873055,0.9697631029566204,0.9646198750120663,0.873940405923419,0.9387539837593416,0.959992863558026,0.8504576651905222,0.8501506359200637,0.9441060916404307,0.7574775102455689,0.774696729408314,0.8756496128899347,0.9809693152294479,1.0
